DBPROPSET_PROPERTIESINERROR 0xC8B522D4, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
CLSID_ADsSecurityUtility 0xF270C64A, 0xFFB8, 0x4AE4, 0x85, 0xFE, 0x3A, 0x75, 0xE5, 0x34, 0x79, 0x66
GUID_VIDEO_ADAPTIVE_PERCENT_INCREASE 0xEED904DF, 0xB142, 0x4183, 0xB1, 0x0B, 0x5A, 0x11, 0x97, 0xA3, 0x78, 0x64
GUID_DISK_COALESCING_POWERDOWN_TIMEOUT 0xC36F0EB4, 0x2988, 0x4A70, 0x8E, 0xEE, 0x08, 0x84, 0xFC, 0x2C, 0x24, 0x33
CLSID_ReplicaPointer 0xF5D1BADF, 0x4080, 0x11D1, 0xA3, 0xAC, 0x00, 0xC0, 0x4F, 0xB9, 0x50, 0xDC
IID_IADsO 0xA1CD2DC6, 0xEFFE, 0x11CF, 0x8A, 0xBC, 0x00, 0xC0, 0x4F, 0xD8, 0xD5, 0x03
GUID_PROCESSOR_PERF_ENERGY_PERFORMANCE_PREFERENCE 0x36687F9E, 0xE3A5, 0x4DBF, 0xB1, 0xDC, 0x15, 0xEB, 0x38, 0x1C, 0x68, 0x63
USER_POLICY_PRESENT_GUID 0x54FB46C8, 0xF089, 0x464C, 0xB1, 0xFD, 0x59, 0xD1, 0xB6, 0x2C, 0x3B, 0x50
GUID_SYSTEM_COOLING_POLICY 0x94D3A615, 0xA899, 0x4AC5, 0xAE, 0x2B, 0xE4, 0xD8, 0xF6, 0x34, 0x36, 0x7F
DBSCHEMA_VIEW_TABLE_USAGE 0xC8B5222F, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
IID_IADsEmail 0x97AF011A, 0x478E, 0x11D1, 0xA3, 0xB4, 0x00, 0xC0, 0x4F, 0xB9, 0x50, 0xDC
CLSID_PostalAddress 0x0A75AFCD, 0x4680, 0x11D1, 0xA3, 0xB4, 0x00, 0xC0, 0x4F, 0xB9, 0x50, 0xDC
DBSCHEMA_TABLES 0xC8B52229, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
DBPROPSET_DBINITALL 0xC8B522CA, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
IID_IADsSecurityDescriptor 0xB8C787CA, 0x9BDD, 0x11D0, 0x85, 0x2C, 0x00, 0xC0, 0x4F, 0xD8, 0xD5, 0x03
IID_IADsPathname 0xD592AED4, 0xF420, 0x11D0, 0xA3, 0x6E, 0x00, 0xC0, 0x4F, 0xB9, 0x50, 0xDC
IID_IADsDeleteOps 0xB2BD0902, 0x8878, 0x11D1, 0x8C, 0x21, 0x00, 0xC0, 0x4F, 0xD8, 0xD5, 0x03
GUID_VIDEO_ANNOYANCE_TIMEOUT 0x82DBCF2D, 0xCD67, 0x40C5, 0xBF, 0xDC, 0x9F, 0x1A, 0x5C, 0xCD, 0x46, 0x63
IID_IADsPropertyValue 0x79FA9AD0, 0xA97C, 0x11D0, 0x85, 0x34, 0x00, 0xC0, 0x4F, 0xD8, 0xD5, 0x03
MDSCHEMA_MEMBERS 0xC8B522DE, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
GUID_PROCESSOR_HETERO_DECREASE_TIME 0x7F2492B6, 0x60B1, 0x45E5, 0xAE, 0x55, 0x77, 0x3F, 0x8C, 0xD5, 0xCA, 0xEC
GUID_PROCESSOR_CORE_PARKING_OVER_UTILIZATION_WEIGHTING 0x8809C2D8, 0xB155, 0x42D4, 0xBC, 0xDA, 0x0D, 0x34, 0x56, 0x51, 0xB1, 0xDB
DBSCHEMA_CHECK_CONSTRAINTS_BY_TABLE 0xC8B52301, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
IID_IADsFileServiceOperations 0xA02DED10, 0x31CA, 0x11CF, 0xA9, 0x8A, 0x00, 0xAA, 0x00, 0x6B, 0xC1, 0x49
GUID_IDLE_BACKGROUND_TASK 0x515C31D8, 0xF734, 0x163D, 0xA0, 0xFD, 0x11, 0xA0, 0x8C, 0x91, 0xE8, 0xF1
MDSCHEMA_FUNCTIONS 0xA07CCD07, 0x8148, 0x11D0, 0x87, 0xBB, 0x00, 0xC0, 0x4F, 0xC3, 0x39, 0x42
CLSID_MSDAVTM 0x0C733A8E, 0x2A1C, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
GUID_PROCESSOR_CORE_PARKING_MIN_CORES_1 0x0CC5B647, 0xC1DF, 0x4637, 0x89, 0x1A, 0xDE, 0xC3, 0x5C, 0x31, 0x85, 0x84
GUID_PROCESSOR_PERF_INCREASE_POLICY_1 0x465E1F50, 0xB610, 0x473A, 0xAB, 0x58, 0x00, 0xD1, 0x07, 0x7D, 0xC4, 0x19
IID_IADsADSystemInfo 0x5BB11929, 0xAFD1, 0x11D2, 0x9C, 0xB9, 0x00, 0x00, 0xF8, 0x7A, 0x36, 0x9E
GUID_VIDEO_CURRENT_MONITOR_BRIGHTNESS 0x8FFEE2C6, 0x2D01, 0x46BE, 0xAD, 0xB9, 0x39, 0x8A, 0xDD, 0xC5, 0xB4, 0xFF
GUID_GLOBAL_USER_PRESENCE 0x786E8A1D, 0xB427, 0x4344, 0x92, 0x07, 0x09, 0xE7, 0x0B, 0xDC, 0xBE, 0xA9
CLSID_CaseIgnoreList 0x15F88A55, 0x4680, 0x11D1, 0xA3, 0xB4, 0x00, 0xC0, 0x4F, 0xB9, 0x50, 0xDC
MDSCHEMA_SETS 0xA07CCD0B, 0x8148, 0x11D0, 0x87, 0xBB, 0x00, 0xC0, 0x4F, 0xC3, 0x39, 0x42
IID_IADsSession 0x398B7DA0, 0x4AAB, 0x11CF, 0xAE, 0x2C, 0x00, 0xAA, 0x00, 0x6E, 0xBF, 0xB9
CLSID_OLEDB_ROWPOSITIONLIBRARY 0x2048EEE6, 0x7FA2, 0x11D0, 0x9E, 0x6A, 0x00, 0xA0, 0xC9, 0x13, 0x8C, 0x29
DBPROPSET_INDEX 0xC8B522BD, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
CLSID_WinNTObject 0xB8324185, 0x4050, 0x4220, 0x98, 0x0A, 0xAB, 0x14, 0x62, 0x3E, 0x06, 0x3A
NO_SUBGROUP_GUID 0xFEA3413E, 0x7E05, 0x4911, 0x9A, 0x71, 0x70, 0x03, 0x31, 0xF1, 0xC2, 0x94
MDGUID_MDX 0xA07CCCD0, 0x8148, 0x11D0, 0x87, 0xBB, 0x00, 0xC0, 0x4F, 0xC3, 0x39, 0x42
DBPROPSET_DATASOURCEINFO 0xC8B522BB, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
IID_IADsObjectOptions 0x46F14FDA, 0x232B, 0x11D1, 0xA8, 0x08, 0x00, 0xC0, 0x4F, 0xD8, 0xD5, 0xA8
IID_IADsExtension 0x3D35553C, 0xD2B0, 0x11D1, 0xB1, 0x7B, 0x00, 0x00, 0xF8, 0x75, 0x93, 0xA0
IID_IADsOctetList 0x7B28B80F, 0x4680, 0x11D1, 0xA3, 0xB4, 0x00, 0xC0, 0x4F, 0xB9, 0x50, 0xDC
GUID_PROCESSOR_CORE_PARKING_MIN_CORES 0x0CC5B647, 0xC1DF, 0x4637, 0x89, 0x1A, 0xDE, 0xC3, 0x5C, 0x31, 0x85, 0x83
CLSID_ADsDSOObject 0x549365D0, 0xEC26, 0x11CF, 0x83, 0x10, 0x00, 0xAA, 0x00, 0xB5, 0x05, 0xDB
CLSID_WinNTConnectionObject 0x7992C6EB, 0xD142, 0x4332, 0x83, 0x1E, 0x31, 0x54, 0xC5, 0x0A, 0x83, 0x16
GUID_PROCESSOR_PERF_DECREASE_TIME_1 0xD8EDEB9B, 0x95CF, 0x4F95, 0xA7, 0x3C, 0xB0, 0x61, 0x97, 0x36, 0x93, 0xC9
DBSCHEMA_TRUSTEE 0xC8B522EF, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
DBPROPSET_DATASOURCEALL 0xC8B522C0, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
CLSID_DNWithString 0x334857CC, 0xF934, 0x11D2, 0xBA, 0x96, 0x00, 0xC0, 0x4F, 0xB6, 0xD0, 0xD1
DBSCHEMA_PROCEDURE_COLUMNS 0xC8B522C9, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
IID_IADsPath 0xB287FCD5, 0x4080, 0x11D1, 0xA3, 0xAC, 0x00, 0xC0, 0x4F, 0xB9, 0x50, 0xDC
GUID_BATTERY_DISCHARGE_LEVEL_3 0x58AFD5A6, 0xC2DD, 0x47D2, 0x9F, 0xBF, 0xEF, 0x70, 0xCC, 0x5C, 0x59, 0x65
DBPROPSET_VIEW 0xC8B522DF, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
GUID_BATTERY_DISCHARGE_LEVEL_1 0x8183BA9A, 0xE910, 0x48DA, 0x87, 0x69, 0x14, 0xAE, 0x6D, 0xC1, 0x17, 0x0A
IID_IADsCaseIgnoreList 0x7B66B533, 0x4680, 0x11D1, 0xA3, 0xB4, 0x00, 0xC0, 0x4F, 0xB9, 0x50, 0xDC
PPM_THERMALCONSTRAINT_GUID 0xA852C2C8, 0x1A4C, 0x423B, 0x8C, 0x2C, 0xF3, 0x0D, 0x82, 0x93, 0x1A, 0x88
IID_IADsCollection 0x72B945E0, 0x253B, 0x11CF, 0xA9, 0x88, 0x00, 0xAA, 0x00, 0x6B, 0xC1, 0x49
